Internal1,Internal1,Internal1,Internal2,Internal2,Internal2,Internal3,Internal3,Internal3,Internal4,Internal4,Internal4
403.529,994.599,134.513,426.108,964.519,134.59,422.524,939.819,121.886,408.821,997.983,99.4169
403.604,994.54,134.578,426.105,964.518,134.606,422.527,939.812,121.896,408.951,998.111,99.5076
403.638,994.436,134.554,426.093,964.496,134.609,422.538,939.81,121.885,408.825,997.976,99.4179
403.664,994.626,134.644,426.105,964.499,134.597,422.541,939.799,121.892,408.825,997.99,99.4143
403.598,994.523,134.585,426.11,964.512,134.61,422.542,939.789,121.883,408.835,997.975,99.4206
403.683,994.628,134.644,426.096,964.506,134.593,422.54,939.781,121.893,408.829,997.963,99.4285
403.675,994.671,134.699,426.092,964.505,134.583,422.554,939.781,121.888,408.834,997.977,99.4182
403.585,994.452,134.515,426.094,964.523,134.591,422.536,939.769,121.888,408.842,997.984,99.4173
403.678,994.612,134.657,426.094,964.517,134.582,422.536,939.758,121.882,408.844,997.977,99.4143
403.535,994.599,134.576,426.077,964.519,134.578,422.56,939.764,121.886,408.93,998.021,99.3255
403.615,994.35,134.569,426.102,964.517,134.597,422.544,939.757,121.886,408.938,998.012,99.3365
403.686,994.591,134.632,426.113,964.488,134.581,422.565,939.759,121.877,408.947,998.018,99.3513
403.627,994.502,134.615,426.094,964.472,134.582,422.564,939.751,121.894,408.96,998.012,99.3365
403.681,994.59,134.664,426.13,964.475,134.591,422.568,939.754,121.885,409.127,998.113,99.43
403.695,994.57,134.632,426.129,964.481,134.602,422.563,939.751,121.885,408.957,997.994,99.3527
403.566,994.439,134.524,426.131,964.473,134.601,422.572,939.752,121.888,408.964,998.005,99.3376
403.671,994.369,134.581,426.142,964.466,134.583,422.583,939.741,121.889,408.969,997.999,99.3427
403.726,994.562,134.632,426.142,964.473,134.585,422.586,939.749,121.881,408.977,998.013,99.3508
403.79,994.468,134.665,426.131,964.474,134.583,422.595,939.748,121.885,408.976,998.011,99.3308
403.701,994.362,134.576,426.154,964.463,134.596,422.592,939.739,121.884,408.979,997.993,99.3595
403.72,994.529,134.608,426.162,964.474,134.6,422.602,939.737,121.88,408.981,997.991,99.346
403.723,994.366,134.593,426.148,964.465,134.611,422.619,939.755,121.883,409.017,998.017,99.3458
403.746,994.532,134.58,426.167,964.479,134.594,422.613,939.746,121.871,408.907,997.932,99.4098
403.851,994.501,134.658,426.175,964.472,134.588,422.639,939.75,121.876,408.915,997.941,99.4282
403.85,994.497,134.637,426.2,964.479,134.589,422.622,939.749,121.876,408.93,997.942,99.4244
403.726,994.45,134.506,426.175,964.485,134.587,422.643,939.769,121.871,408.932,997.954,99.4214
403.706,994.446,134.51,426.205,964.479,134.584,422.648,939.741,121.875,408.938,997.941,99.4117
403.803,994.386,134.558,426.198,964.476,134.584,422.674,939.723,121.878,408.938,997.949,99.4109
403.681,994.522,134.498,426.201,964.485,134.587,422.679,939.715,121.882,408.948,997.943,99.4345
403.68,994.544,134.504,426.211,964.491,134.576,422.7,939.698,121.86,408.951,997.952,99.4182
403.811,994.582,134.557,426.225,964.482,134.586,422.737,939.704,121.838,408.966,997.937,99.4115
403.668,994.64,134.491,426.231,964.511,134.596,422.716,939.733,121.839,408.965,997.948,99.4051
403.764,994.511,134.547,426.239,964.506,134.599,422.566,939.923,121.859,408.968,997.938,99.4218
403.742,994.543,134.519,426.237,964.501,134.592,422.578,939.937,121.853,408.96,997.935,99.4063
403.832,994.621,134.571,426.232,964.498,134.596,422.576,939.924,121.857,408.967,997.94,99.4016
403.777,994.666,134.562,426.244,964.507,134.594,422.571,939.93,121.857,408.921,997.667,99.1769
403.846,994.641,134.592,426.242,964.497,134.568,422.626,939.856,121.864,408.882,997.872,99.3536
403.836,994.636,134.581,426.236,964.502,134.603,422.627,939.868,121.849,408.883,997.877,99.3525
403.743,994.54,134.5,426.243,964.499,134.594,422.421,939.927,121.918,408.884,997.879,99.3548
